iso_code,location,population,human_development_index,life_expectancy,hospital_beds_per_thousand,aged_65_older,median_age,population_density,continent,Nombre de cas,Nombre de morts,Nombre de cas par million,Nombre de morts par million,Nombre de vaccinés ( au moins une dose),Nombre de vaccinés ( toutes les doses),Index,Nombre de vaccinés ( toutes les doses) par million
MMR,Myanmar,54179312.0,0.583,67.13,0.9,5.732,29.1,81.721,Asia,633694.0,19490.0,11696.236,359.731,34777314.0,27545329.0,149,508410.46117381484
ZWE,Zimbabwe,16320539.0,0.571,61.49,1.7,2.822,19.6,42.729,Africa,259981.0,5637.0,15929.682,345.393,6437808.0,4751270.0,150,291122.12531706213
SPM,Saint Pierre and Miquelon,5885.0,,81.07,,,,,North America,3349.0,2.0,569073.917,339.847,,,151,
STP,Sao Tome and Principe,227393.0,0.625,70.39,2.9,2.886,18.7,212.841,Africa,6279.0,77.0,27612.987,338.621,127438.0,103623.0,152,455700.04353696026
OWID_ASI,Asia,4721383370.0,,,,,,,,204160230.0,1518255.0,43241.612,321.57,3651298534.0,3407861413.0,153,721792.9886087602
LSO,Lesotho,2305826.0,0.527,54.33,,4.506,22.2,73.562,Africa,34790.0,723.0,15087.869,313.554,998183.0,925976.0,154,401581.03863864834
SGP,Singapore,5637022.0,0.938,83.62,2.4,12.922,42.4,7915.731,Asia,2203702.0,1712.0,390933.724,303.706,5159872.0,5117470.0,155,907832.1851502443
SAU,Saudi Arabia,36408824.0,0.854,75.13,2.7,3.295,31.9,15.322,Asia,827100.0,9524.0,22717.02,261.585,26951666.0,25351683.0,156,696306.0108725292
QAT,Qatar,2695131.0,0.848,80.23,1.2,1.307,31.9,227.322,Asia,489994.0,685.0,181807.118,254.162,2850159.0,2850158.0,157,1057521.137191476
ARE,United Arab Emirates,9441138.0,0.89,77.97,1.2,1.144,34.0,112.442,Asia,1047157.0,2348.0,110914.277,248.699,9991089.0,9792266.0,158,1037191.2792716302
EGY,Egypt,110990096.0,0.707,71.99,1.6,5.159,25.3,97.999,Africa,515645.0,24802.0,4645.865,223.461,53731514.0,40092338.0,159,361224.4645684422
SLB,Solomon Islands,724272.0,0.567,73.0,1.4,3.507,20.8,21.841,Oceania,24575.0,153.0,33930.623,211.247,343821.0,254352.0,160,351182.9809795215
MRT,Mauritania,4736146.0,0.546,64.92,,3.138,20.3,4.289,Africa,63425.0,997.0,13391.69,210.509,2096578.0,1531866.0,161,323441.4648534906
VEN,Venezuela,28301700.0,0.711,72.06,0.8,6.614,29.0,36.253,South America,550624.0,5832.0,19455.51,206.065,22157232.0,14966671.0,162,528825.8655840462
ZMB,Zambia,20017670.0,0.584,63.89,2.0,2.48,17.7,22.995,Africa,334695.0,4024.0,16719.978,201.022,10802844.0,8555745.0,163,427409.63358872436
COM,Comoros,836783.0,0.554,64.32,2.2,2.963,20.4,437.352,Africa,8983.0,161.0,10735.161,192.404,438825.0,397080.0,164,474531.62886913336
AFG,Afghanistan,41128772.0,0.511,64.83,0.5,2.581,18.6,54.422,Asia,207654.0,7850.0,5048.874,190.864,11459692.0,10754839.0,165,261491.85781671287
KHM,Cambodia,16767851.0,0.594,69.82,0.8,4.412,25.6,90.672,Asia,138600.0,3056.0,8265.818,182.254,15235245.0,14600964.0,166,870771.334979062
OWID_AFR,Africa,1426736614.0,,,,,,,,12471078.0,257543.0,8740.981,180.512,478556877.0,392896735.0,167,275381.40617172106
BGD,Bangladesh,171186368.0,0.632,72.59,0.8,5.098,27.5,1265.036,Asia,2037187.0,29440.0,11900.404,171.976,150133683.0,126982834.0,168,741781.2264116731
DJI,Djibouti,1120851.0,0.524,67.11,1.4,4.213,25.4,41.285,Africa,15690.0,189.0,13998.292,168.622,317428.0,297060.0,169,265030.7668012965
DZA,Algeria,44903228.0,0.748,76.88,1.9,6.211,29.1,17.348,Africa,271230.0,6881.0,6040.323,153.241,7840131.0,6481186.0,170,144336.75013297485
SYR,Syria,22125242.0,0.567,72.7,1.5,,21.7,,Asia,57423.0,3163.0,2595.361,142.959,3179030.0,2226318.0,171,100623.44176845613
MWI,Malawi,20405318.0,0.483,64.26,1.3,2.979,18.1,197.519,Africa,88220.0,2896.0,4323.383,141.924,4587043.0,3685148.0,172,180597.43053257
GMB,Gambia,2705995.0,0.496,62.05,1.1,2.339,17.5,207.566,Africa,12586.0,372.0,4651.154,137.473,548701.0,454249.0,173,167867.64203185888
WSM,Samoa,222390.0,0.715,73.32,,5.606,22.0,69.413,Oceania,15982.0,29.0,71864.742,130.402,231546.0,215077.0,174,967116.3271729844
PAK,Pakistan,235824864.0,0.557,67.27,0.6,4.495,23.5,255.573,Asia,1575854.0,30638.0,6682.306,129.918,154665740.0,131368973.0,175,557061.5870258702
GAB,Gabon,2388997.0,0.703,66.47,6.3,4.45,23.1,7.859,Africa,48980.0,306.0,20502.328,128.087,311040.0,257378.0,176,107734.7522830711
SEN,Senegal,17316452.0,0.512,67.94,,3.008,18.7,82.328,Africa,88900.0,1988.0,5133.846,114.804,1949419.0,1356436.0,177,78332.21262646643
TON,Tonga,106867.0,0.725,70.91,2.6,5.82,22.3,150.028,Oceania,16412.0,12.0,153574.069,112.289,91949.0,77464.0,178,724863.6155220976
GNQ,Equatorial Guinea,1674916.0,0.592,58.74,2.1,2.846,22.4,45.194,Africa,17186.0,183.0,10260.813,109.259,270109.0,214032.0,179,127786.70691545127
RWA,Rwanda,13776702.0,0.543,69.02,,2.974,20.3,494.869,Africa,133033.0,1468.0,9656.375,106.557,10572981.0,9274948.0,180,673234.2762440532
SDN,Sudan,46874200.0,0.51,65.31,0.8,3.548,19.7,23.258,Africa,63686.0,4994.0,1358.658,106.54,10504568.0,8302878.0,181,177131.08703721876
KEN,Kenya,54027484.0,0.601,66.7,1.4,2.686,20.0,87.324,Africa,342512.0,5688.0,6339.588,105.28,14213956.0,10832419.0,182,200498.30564014422
TLS,Timor,1341298.0,0.606,69.5,5.9,3.556,18.0,87.176,Asia,23397.0,138.0,17443.551,102.885,877982.0,788452.0,183,587827.6117611448
LAO,Laos,7529477.0,0.613,67.92,1.5,4.029,24.4,29.715,Asia,217825.0,758.0,28929.632,100.671,5888649.0,5222417.0,184,693596.2484512536
KIR,Kiribati,131237.0,0.63,68.37,1.9,3.895,23.2,143.701,Oceania,3430.0,13.0,26135.922,99.057,96184.0,73888.0,185,563011.9554698751
GNB,Guinea-Bissau,2105580.0,0.48,58.32,,3.002,19.4,66.191,Africa,8947.0,176.0,4249.185,83.587,640393.0,404228.0,186,191979.40709923155
NRU,Nauru,12691.0,,59.96,5.0,,,682.45,Oceania,4621.0,1.0,364116.303,78.796,11522.0,8585.0,187,676463.6356473091
SOM,Somalia,17597508.0,,57.4,0.9,2.731,16.8,23.5,Africa,27310.0,1361.0,1551.924,77.34,7524443.0,6324409.0,188,359392.3071380334
UGA,Uganda,47249588.0,0.544,63.37,0.5,2.168,16.4,213.759,Africa,169985.0,3630.0,3597.598,76.826,18867075.0,12961901.0,189,274328.3391169464
HTI,Haiti,11585003.0,0.51,64.0,0.7,4.8,24.3,398.448,North America,33904.0,860.0,2926.542,74.234,398517.0,237406.0,190,20492.528141770872
CMR,Cameroon,27914542.0,0.563,59.29,1.3,3.165,18.8,50.885,Africa,123993.0,1965.0,4441.878,70.393,3651727.0,3110433.0,191,111426.97594680221
MOZ,Mozambique,32969520.0,0.456,60.85,0.7,3.158,17.7,37.728,Africa,230970.0,2230.0,7005.562,67.638,18581293.0,18448526.0,192,559563.0752282714
PNG,Papua New Guinea,10142625.0,0.555,64.5,,3.808,22.6,18.22,Oceania,46663.0,669.0,4600.683,65.959,364894.0,304687.0,193,30040.250921235875
OWID_LIC,Low income,737604900.0,,,,,,,,2268936.0,47927.0,3076.086,64.977,190702130.0,158556948.0,194,214961.89626722925
COG,Congo,5970430.0,0.574,64.57,,3.402,19.0,15.405,Africa,25375.0,386.0,4250.113,64.652,695760.0,654119.0,195,109559.78045132427
YEM,Yemen,33696612.0,0.47,66.12,0.7,2.922,20.3,53.508,Asia,11945.0,2159.0,354.487,64.072,1003208.0,757050.0,196,22466.65035642159
ETH,Ethiopia,123379928.0,0.485,66.6,0.3,3.526,19.8,104.957,Africa,498341.0,7572.0,4039.077,61.371,43111242.0,36707357.0,197,297514.81942832714
COK,Cook Islands,17032.0,,76.25,,,,,Oceania,6389.0,1.0,375117.426,58.713,15084.0,14715.0,198,863961.9539689996
LBR,Liberia,5302690.0,0.48,64.1,0.8,3.057,19.2,49.127,Africa,8043.0,294.0,1516.777,55.444,3903802.0,3730967.0,199,703598.928091214
AGO,Angola,35588996.0,0.581,61.15,,2.405,16.8,23.89,Africa,105095.0,1930.0,2953.02,54.23,14990131.0,8253873.0,200,231922.05253556464
MDG,Madagascar,29611718.0,0.528,67.04,0.2,2.929,19.6,43.951,Africa,67750.0,1418.0,2287.946,47.886,2056662.0,1981152.0,201,66904.32483518856
UZB,Uzbekistan,34627648.0,0.72,71.72,4.0,4.469,28.2,76.134,Asia,249766.0,1637.0,7212.907,47.274,21283789.0,17707137.0,202,511358.3515692431
GHA,Ghana,33475870.0,0.611,64.07,0.9,3.385,21.1,126.719,Africa,171065.0,1461.0,5110.099,43.643,12163179.0,9183560.0,203,274333.7215731809
VUT,Vanuatu,326744.0,0.609,70.47,,4.394,23.1,22.662,Oceania,12013.0,14.0,36765.786,42.847,144824.0,131697.0,204,403058.663663296
NIC,Nicaragua,6948395.0,0.66,74.48,0.9,5.445,27.3,51.667,North America,15365.0,245.0,2211.302,35.26,6171763.0,5946635.0,205,855828.5762395489
GIN,Guinea,13859349.0,0.477,61.6,0.3,3.135,19.0,51.755,Africa,38210.0,466.0,2756.984,33.624,6087292.0,3293736.0,206,237654.4526009122
MLI,Mali,22593598.0,0.434,59.31,0.1,2.519,16.4,15.196,Africa,32771.0,743.0,1450.455,32.885,3210921.0,2593973.0,207,114810.08912347649
TGO,Togo,8848700.0,0.515,61.04,0.7,2.839,19.4,143.366,Africa,39344.0,290.0,4446.303,32.773,2242455.0,1456018.0,208,164545.97850531715
CIV,Cote d'Ivoire,28160548.0,0.538,57.78,,2.933,18.7,76.399,Africa,87945.0,831.0,3122.986,29.509,13148381.0,11660147.0,209,414059.6624753183
ERI,Eritrea,3684041.0,0.459,66.32,0.7,3.607,19.3,44.304,Africa,10189.0,103.0,2765.713,27.958,,,210,
BTN,Bhutan,782457.0,0.654,71.78,1.7,4.885,28.6,21.188,Asia,62531.0,21.0,79916.213,26.839,699116.0,677669.0,211,866078.2637256745
CAF,Central African Republic,5579148.0,0.397,53.28,1.0,3.655,18.3,7.479,Africa,15351.0,113.0,2751.495,20.254,1984791.0,1934575.0,212,346750.97344612476
MAC,Macao,695180.0,,84.24,,9.798,39.2,20546.766,Asia,1569.0,13.0,2256.969,18.7,676504.0,638637.0,213,918664.2308466871
BFA,Burkina Faso,22673764.0,0.452,61.58,0.4,2.409,17.6,70.151,Africa,22006.0,395.0,970.549,17.421,4366726.0,3335753.0,214,147119.50781528818
COD,Democratic Republic of Congo,99010216.0,0.48,60.68,,3.02,17.0,35.879,Africa,95173.0,1462.0,961.244,14.766,9045823.0,6756571.0,215,68241.1499839572
SLE,Sierra Leone,8605723.0,0.452,54.7,,2.538,19.1,104.7,Africa,7760.0,126.0,901.726,14.641,4318136.0,3445251.0,216,400344.16631815827
NGA,Nigeria,218541216.0,0.539,54.69,,2.751,18.1,209.588,Africa,266450.0,3155.0,1219.221,14.437,72354408.0,59867077.0,217,273939.5254394484
TZA,Tanzania,65497752.0,0.529,65.46,0.7,3.108,17.7,64.699,Africa,42351.0,845.0,646.602,12.901,31191545.0,29270881.0,218,446899.01723649993
SSD,South Sudan,10913172.0,0.433,57.85,,3.441,19.2,,Africa,18368.0,138.0,1683.104,12.645,2252089.0,2210238.0,219,202529.38375753633
TJK,Tajikistan,9952789.0,0.668,71.1,4.8,3.466,23.3,64.281,Asia,17786.0,125.0,1787.037,12.559,5311967.0,5170582.0,220,519510.8627340538
BEN,Benin,13352864.0,0.545,61.77,0.5,3.244,18.8,99.11,Africa,27982.0,163.0,2095.58,12.207,3697190.0,2742837.0,221,205411.88766694546
NER,Niger,26207982.0,0.394,62.42,0.3,2.553,15.1,16.955,Africa,9473.0,314.0,361.455,11.981,6072321.0,5308074.0,222,202536.5402036677
TCD,Chad,17723312.0,0.398,54.24,,2.486,16.7,11.833,Africa,7651.0,194.0,431.691,10.946,3750058.0,3625087.0,223,204537.78616547515
CHN,China,1425887360.0,0.761,76.91,4.34,10.641,38.7,147.674,Asia,1909905.0,5549.0,1339.45,3.892,1307222000.0,1274018000.0,224,893491.3344066673
BDI,Burundi,12889583.0,0.433,61.58,0.8,2.562,17.5,423.062,Africa,52051.0,38.0,4038.222,2.948,28541.0,27957.0,225,2168.960780189708
PRK,North Korea,26069416.0,,72.27,13.2,9.491,35.3,211.701,Asia,1.0,6.0,0.038,0.23,,,226,
PRI,Puerto Rico,3252412.0,,80.1,,15.168,38.2,376.232,North America,,,,,,,227,
OWID_WLS,Wales,3170000.0,,,,,,,Europe,,,,,2591005.0,2471602.0,228,779685.1735015773
PCN,Pitcairn,47.0,,,,,,,Oceania,,,,,47.0,47.0,229,1000000.0
VAT,Vatican,808.0,,75.12,,,,,Europe,29.0,,35891.089,,,,230,
FLK,Falkland Islands,3801.0,,81.44,,,,,South America,1930.0,,507761.115,,2632.0,1775.0,231,466982.37305972114
OWID_SCT,Scotland,5466000.0,,,,,,,Europe,,,,,4549556.0,4285946.0,232,784110.1353823637
SHN,Saint Helena,5401.0,,80.56,,,,,Africa,2166.0,,401036.845,,4361.0,3531.0,233,653767.8207739308
GUM,Guam,171783.0,,80.07,,9.551,31.4,304.128,Oceania,,,,,,,234,
